index1,name,coefs,coef_expit,coef_exp,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,0.8068,0.6914,2.2407,3719.0971,0.0,,
1,sp500_1yr_isnull,0.0,0.5,1.0,,,,
2,sp500_2yr_t,0.0087,0.5022,1.0087,1760.9364,0.0,,
3,sp500_2yr_isnull,0.0,0.5,1.0,,,,
4,sp500_3yr_t,-0.1997,0.4502,0.8189,1699.8526,0.0,,
5,sp500_3yr_isnull,0.0,0.5,1.0,,,,
6,sp500_4yr_t,-0.0378,0.4905,0.9629,1649.0414,0.0,,
7,sp500_4yr_isnull,0.0,0.5,1.0,,,,
8,sp500_5yr_t,-0.2294,0.4429,0.795,711.6134,0.0,,
9,sp500_5yr_isnull,0.0,0.5,1.0,,,,
10,sp500_6yr_t,0.4087,0.6008,1.5048,551.8534,0.0,,
11,sp500_6yr_isnull,0.0,0.5,1.0,,,,
12,sp500_7yr_t,0.1643,0.541,1.1786,701.1602,0.0,,
13,sp500_7yr_isnull,0.0,0.5,1.0,,,,
14,sp500_8yr_t,0.1528,0.5381,1.165,1411.5034,0.0,,
15,sp500_8yr_isnull,0.0,0.5,1.0,,,,
16,sp500_9yr_t,-0.5172,0.3735,0.5962,6876.95,0.0,,
17,sp500_9yr_isnull,0.0,0.5,1.0,,,,
18,sp500_10yr_t,-0.1861,0.4536,0.8302,8736.6446,0.0,,
19,sp500_10yr_isnull,0.0,0.5,1.0,,,,
20,sp500_11yr_t,0.2458,0.5611,1.2786,2259.7792,0.0,,
21,sp500_11yr_isnull,0.0,0.5,1.0,,,,
22,sp500_12yr_t,0.4674,0.6148,1.5958,1129.6696,0.0,,
23,sp500_12yr_isnull,0.0,0.5,1.0,,,,
