index1,name,coefs,coef_expit,coef_exp,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,0.8077,0.6916,2.2427,3719.0971,0.0,,
1,sp500_1yr_isnull,0.0,0.5,1.0,,,,
2,sp500_2yr_t,0.008,0.502,1.0081,1760.9364,0.0,,
3,sp500_2yr_isnull,0.0,0.5,1.0,,,,
4,sp500_3yr_t,-0.1979,0.4507,0.8204,1699.8526,0.0,,
5,sp500_3yr_isnull,0.0,0.5,1.0,,,,
6,sp500_4yr_t,-0.0414,0.4897,0.9595,1649.0414,0.0,,
7,sp500_4yr_isnull,0.0,0.5,1.0,,,,
8,sp500_5yr_t,-0.2269,0.4435,0.797,711.6134,0.0,,
9,sp500_5yr_isnull,0.0,0.5,1.0,,,,
10,sp500_6yr_t,0.4103,0.6012,1.5072,551.8534,0.0,,
11,sp500_6yr_isnull,0.0,0.5,1.0,,,,
12,sp500_7yr_t,0.1593,0.5397,1.1726,701.1602,0.0,,
13,sp500_7yr_isnull,0.0,0.5,1.0,,,,
14,sp500_8yr_t,0.1584,0.5395,1.1717,1411.5034,0.0,,
15,sp500_8yr_isnull,0.0,0.5,1.0,,,,
16,sp500_9yr_t,-0.5174,0.3735,0.5961,6876.95,0.0,,
17,sp500_9yr_isnull,0.0,0.5,1.0,,,,
18,sp500_10yr_t,-0.192,0.4521,0.8253,8736.6446,0.0,,
19,sp500_10yr_isnull,0.0,0.5,1.0,,,,
20,sp500_11yr_t,0.254,0.5632,1.2892,2259.7792,0.0,,
21,sp500_11yr_isnull,0.0,0.5,1.0,,,,
22,sp500_12yr_t,0.4624,0.6136,1.5878,1129.6696,0.0,,
23,sp500_12yr_isnull,0.0,0.5,1.0,,,,
