index1,name,coefs,coef_expit,coef_exp,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,0.8067,0.6914,2.2404,3719.0971,0.0,,
1,sp500_1yr_isnull,0.0,0.5,1.0,,,,
2,sp500_2yr_t,0.0092,0.5023,1.0092,1760.9364,0.0,,
3,sp500_2yr_isnull,0.0,0.5,1.0,,,,
4,sp500_3yr_t,-0.2,0.4502,0.8187,1699.8526,0.0,,
5,sp500_3yr_isnull,0.0,0.5,1.0,,,,
6,sp500_4yr_t,-0.0386,0.4903,0.9621,1649.0414,0.0,,
7,sp500_4yr_isnull,0.0,0.5,1.0,,,,
8,sp500_5yr_t,-0.227,0.4435,0.7969,711.6134,0.0,,
9,sp500_5yr_isnull,0.0,0.5,1.0,,,,
10,sp500_6yr_t,0.4072,0.6004,1.5027,551.8534,0.0,,
11,sp500_6yr_isnull,0.0,0.5,1.0,,,,
12,sp500_7yr_t,0.1628,0.5406,1.1769,701.1602,0.0,,
13,sp500_7yr_isnull,0.0,0.5,1.0,,,,
14,sp500_8yr_t,0.1556,0.5388,1.1684,1411.5034,0.0,,
15,sp500_8yr_isnull,0.0,0.5,1.0,,,,
16,sp500_9yr_t,-0.5169,0.3736,0.5964,6876.95,0.0,,
17,sp500_9yr_isnull,0.0,0.5,1.0,,,,
18,sp500_10yr_t,-0.1896,0.4527,0.8273,8736.6446,0.0,,
19,sp500_10yr_isnull,0.0,0.5,1.0,,,,
20,sp500_11yr_t,0.2495,0.5621,1.2834,2259.7792,0.0,,
21,sp500_11yr_isnull,0.0,0.5,1.0,,,,
22,sp500_12yr_t,0.4653,0.6143,1.5926,1129.6696,0.0,,
23,sp500_12yr_isnull,0.0,0.5,1.0,,,,
